Предложения,GPT-3.5,Llama-3.3,DeepSeek-V3,,Qwen2.5,t5-trivia,Falcon3 3B Instruct
"Кто-то дал игрушку, кто-то куклу, да еще деньги дал кто-то, но лучшая подарка была от мамы и папы – велосипед.","Кто-то дал игрушку, кто-то куклу, кто-то ещё дал денег, но лучшим подарком от мамы и папы был велосипед.","Кто-то дал игрушку, кто-то куклу, да еще кто-то дал деньги, но лучший подарок был от мамы и папы – велосипед.","Кто-то дал игрушку,кто-то куклу,да еще деньги дал кто-то,но лучший подарок был от мамы и папы–велосипед.",,"Кто-то дал игрушку, кто-то куклу, да еще деньги дал кто-то, но лучшая подруга была от мамы и папы – велосипед.",,
В прошлом веке было много ученых открытий.,В прошлом веке было много научных открытий.,В прошлом веке было много научных открытий.,В прошлом веке было много научных открытий.,,В прошом настори было много ученей.,,
"Люди пошли сначала в поликлинику, нахожденная в районе, где они жили.","Люди пошли сначала в поликлинику, которая находилась в районе, где они жили.","Люди пошли сначала в поликлинику, находящуюся в районе, где они жили.","Люди пошли сначала в поликлинику, находящуюся в районе, где они жили.",,"Люди пошли сначала в поликлинику, нахожденную в районе, где они жили.",,
Крапиву с рисом обычно подают с сметаном.,Крапиву с рисом обычно подают со сметаной.,Крапиву с рисом обычно подают со сметаной.,Крапиву с рисом обычно подают со сметаной.,,Крапиву с рисом обычно подают с сметаном.,,
"Часто путешествовая по пересеченной местности, они пешком приходят большое расстояние.","Часто путешествуя по пересечённой местности, они пешком проходят большое расстояние.","Часто путешествуя по пересеченной местности, они пешком преодолевали большое расстояние.","Часто путешествуя по пересеченной местности, они пешком проходят большие расстояния.",,"Часто путешествуя по пересеченной местности, они с пешком приходят большое удовольствие.",,
Характер я получила из папй.,Характер я получила от папы.,Характер я унаследовала от папы.,Характер я получила от папы.,,Характер я получила из папки.,,
"Я считаю, что это случае делал нас близкими подругами.","Я считаю, что этот случай сделал нас близкими подругами.","Я считаю, что это случай сделал нас близкими подругами.","Я считаю, что это случай сделал нас близкими подругами.",,"Я считаю, что это случайно произошло с нашими близкими подругами.",,
"Мы обо служим в ВВС, и я встетилась с ней, кажется, почты год назад.","Мы обе служим в ВВС, и я встретилась с ней, кажется, почти год назад.","Мы оба служим в ВВС, и я встретилась с ней, кажется, полгода назад.","Мы обе служим в ВВС, и я встретилась с ней, кажется, почти год назад.",,"Мы служим в ВВС, и я встет на него, чтобы подготовиться к этому событию.",,
"Когда они начинают быть старшее, они приносят цветы.","Когда они начинают быть старше, они приносят цветы.","Когда они начинают быть старше, они приносят цветы.","Когда они становятся старше, они приносят цветы.",,"Когда они начинают стареть, они приносят цветы.",,
"Громко ругаясь, я выбрала номер специалисты по компьютерам.","Громко ругаясь, я выбрала номер специалиста по компьютерам.","Громко ругаясь, я набрала номер специалистов по компьютерам.","Громко ругаясь, я выбрала номер специалиста по компьютерам.",," Громко ругая мет, я выбрал номер specially по компьютерам.",,
Все жизне приходится с опыт.,Всю жизнь приходится сталкиваться с опытом.,Вся жизнь состоит из опыта.,Вся жизнь приходится с опытом.,,Все жизне приходил с опы.,,
Я всталась и села с ней.,Я встала и села рядом с ней.,Я встала и села с ней.,Я встала и села с ней.,,Я всталась и села с ней.,,
"Окончив писать утром перед сдачой, я пыталась печатать документ.","Закончив писать утром перед сдачей, я пыталась напечатать документ.","Окончив писать утром перед сдачей, я попыталась распечатать документ.","Окончив писать утром перед сдачей, я пыталась напечатать документ.",,"Окончив писать утром перед сдачой, я пыталась печатать документ.",,
"После этого я не только сменила не только печатник, но и специалиста по компьютерам.","После этого я не только сменила не только принтер, но и специалиста по компьютерам.","После этого я сменила не только печатник, но и специалиста по компьютерам.","После этого я сменила не только принтер, но и специалиста по компьютерам.",,"После этого я не только сменила печатник, но и специалиста по компьютерам.",,
"Через недели моя подруга будет выпустить, а я, к сожалению, я не выпустю с ней.","Через неделю моя подруга будет выпускаться, а я, к сожалению, не выпущусь с ней.","Через недели моя подруга выпустится, а я, к сожалению, не выпущусь с ней.","Через неделю моя подруга выпустится, а я, к сожалению, не выпущусь с ней.",,--,,
"Часто я познакомаю с поваром, чтобы узнать его секреты.","Часто я знакомлюсь с поваром, чтобы узнать его секреты.","Часто я познакомлюсь с поваром, чтобы узнать его секреты.","Часто я знакомлюсь с поваром, чтобы узнать его секреты.",,--,,
"Мы делали как это, можете быть, два или три месяц.","Мы делали это, наверное, два или три месяца.","Мы делали это, может быть, два или три месяца.","Мы делали это, может быть, два или три месяца.",,--,,
"Город Севастополь не может плывать; наоборот, это герой и его мать которые плывет на пароходе и приближаются к берегу.","Город Севастополь не может плавать; наоборот, это героический город, чья мать-Родина плывёт на пароходе и приближается к берегу.","Город Севастополь не может плыть; наоборот, это герой и его мать, которые плывут на пароходе и приближаются к берегу.","Город Севастополь не может плыть; наоборот, это герой и его мать которые плывут на пароходе и приближаются к берегу.",,--,,
